17,18,0,0,11,39,7,6,0,2,15,10,17,13,9,5,2,10,3,1,1,12,0,0,0
61,0,0,0,34,0,0,4,0,0,7,8,0,0,2,18,6,0,4,6,16,0,2,2,1
0,0,0,0,0,100,0,0,1,0,0,4,4,4,4,1,1,9,13,5,10,12,0,0,1
65,0,0,0,24,0,9,0,0,5,8,12,0,8,5,0,1,5,1,0,0,3,1,1,0
72,0,0,0,27,0,0,0,17,17,12,2,6,6,4,0,8,0,0,0,8,9,1,0,1
6,83,10,0,0,0,0,0,0,8,10,0,0,13,10,4,0,1,13,5,0,3,1,1,0
59,0,6,0,24,0,9,0,1,2,3,0,1,1,1,0,2,0,0,0,1,3,1,0,0
59,0,15,4,18,2,0,0,13,4,4,1,13,0,0,0,12,0,1,2,0,1,0,23,0
5,89,0,0,0,4,0,0,2,2,6,0,0,3,14,2,0,6,7,13,3,2,2,10,1
61,0,0,0,38,0,0,0,16,14,0,2,7,3,0,3,0,0,0,0,0,3,4,7,0
10,21,51,3,4,0,3,3,8,6,4,5,4,17,3,8,2,14,5,13,1,0,0,4,0
78,5,8,3,0,3,0,0,1,12,11,4,7,6,10,0,3,9,16,4,1,0,8,8,1
0,100,0,0,0,0,0,0,3,5,4,2,0,2,0,2,0,1,0,3,0,6,2,3,0
17,10,13,0,32,8,11,4,4,7,7,6,3,11,13,3,10,12,6,3,6,0,3,6,0
37,0,0,0,38,0,0,24,0,3,7,2,0,2,9,5,0,2,3,1,1,6,10,7,1
29,8,10,1,22,0,13,12,3,5,12,8,4,11,9,8,1,6,11,2,0,0,9,11,1
0,0,12,0,0,0,87,0,2,8,2,2,3,2,0,0,8,0,0,0,4,2,7,3,0
34,0,0,0,65,0,0,0,1,0,1,0,0,4,7,3,0,0,0,0,1,4,0,4,0
90,0,0,0,9,0,0,0,6,6,0,7,13,0,14,2,9,2,8,5,9,4,5,6,1
10,0,0,0,89,0,0,0,9,5,5,14,0,7,5,1,7,5,5,9,6,4,10,8,0
53,0,19,0,22,0,3,0,11,0,5,5,15,0,12,10,2,0,8,1,0,0,13,18,1
18,13,0,43,0,16,7,0,1,1,9,5,2,0,0,1,6,6,2,0,7,3,6,6,0
44,0,0,0,55,0,0,0,5,5,2,4,7,3,15,10,5,6,13,4,3,4,8,6,0
78,0,0,0,21,0,0,0,7,9,9,4,12,0,5,6,6,1,10,2,10,0,6,3,1
0,0,0,0,56,0,0,43,0,2,0,1,1,7,5,6,3,5,3,3,4,3,0,0,0
26,0,0,0,13,0,59,0,0,1,1,3,1,10,10,3,2,4,8,0,3,8,16,0,0
0,0,0,0,2,3,91,2,0,0,7,11,0,8,7,1,11,12,2,0,10,9,2,0,0
0,93,0,0,0,6,0,0,2,6,6,6,13,5,5,4,1,4,5,7,0,1,3,11,0
6,7,5,0,5,12,62,0,0,1,8,8,5,11,3,8,3,2,13,1,8,13,7,9,0
7,67,9,0,11,4,0,0,5,10,10,0,7,10,15,3,0,1,15,7,0,3,5,9,1
16,0,0,0,11,0,2,69,0,3,3,9,2,6,9,6,3,7,8,0,4,4,18,0,0
85,2,0,0,12,0,0,0,0,1,10,3,5,0,10,8,8,0,8,2,11,3,4,16,1
85,0,0,0,14,0,0,0,7,8,9,5,11,0,11,2,8,2,6,5,7,5,1,1,1
73,0,0,0,26,0,0,0,10,16,11,8,9,0,13,11,0,0,9,1,0,0,2,0,1
2,92,0,0,0,4,0,0,1,1,0,0,0,8,1,0,0,2,9,2,0,3,4,1,0
16,56,2,0,0,25,0,0,1,2,2,8,13,5,10,15,1,10,11,2,0,2,6,1,1
100,0,0,0,0,0,0,0,16,10,0,1,12,6,0,4,5,3,0,2,1,0,0,1,0
48,0,5,0,39,0,0,5,3,13,7,6,0,0,12,8,2,2,11,6,2,4,14,10,1
7,0,6,20,0,0,0,65,3,9,5,2,6,0,11,3,0,7,5,0,0,14,2,0,1
30,0,4,18,33,0,0,13,0,2,1,0,2,1,0,0,2,0,7,4,2,3,8,11,0
52,0,0,0,44,0,3,0,0,6,6,3,2,1,13,6,4,9,12,1,2,13,14,8,1
